Month,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)"
1/1/2005,293261,231325,267695,205759,263469,201533
2/1/2005,295062,228117,270080,203135,265320,198375
3/1/2005,339141,258532,309761,229152,306384,225775
4/1/2005,335632,257963,305083,227414,302054,224385
5/1/2005,345348,267021,314197,235870,311292,232965
6/1/2005,350945,265567,319083,233705,317375,231997
7/1/2005,351827,264117,317939,230229,316887,229177
8/1/2005,355701,274481,319497,238277,321409,240189
9/1/2005,333289,263877,297029,227617,300439,231027
10/1/2005,336134,272540,299577,235983,302213,238619
11/1/2005,343798,278953,312538,247693,311715,246870
12/1/2005,405608,334946,374344,303682,370726,300064
1/1/2006,318546,252809,287746,222009,286152,220415
2/1/2006,314051,246599,284798,217346,282417,214965
3/1/2006,361993,279239,328106,245352,326153,243399
4/1/2006,351667,275487,315665,239485,316526,240346
5/1/2006,373560,292043,334544,253027,337393,255876
6/1/2006,366615,286016,327489,246890,330844,250245
7/1/2006,362203,281314,321618,240729,325905,245016
8/1/2006,375795,292798,334744,251747,339155,256158
9/1/2006,346214,273214,311384,238384,310775,237775
10/1/2006,348796,278431,315588,245223,312976,242611
11/1/2006,356928,289416,325372,257860,323089,255577
12/1/2006,417991,346996,385329,314334,380188,309193
1/1/2007,328877,262292,297955,231370,295284,228699
2/1/2007,323162,253789,293400,224027,290065,220692
3/1/2007,374142,290309,338539,254706,335917,252084
4/1/2007,358535,281270,321858,244593,321981,244716
5/1/2007,391512,306329,350134,264951,353201,268018
6/1/2007,376639,296815,336158,256334,338189,258365
7/1/2007,372354,293257,331658,252561,333815,254718
8/1/2007,388016,303383,347629,262996,349191,264558
9/1/2007,353936,280466,316261,242791,317145,243675
10/1/2007,368681,294220,329256,254795,331073,256612
11/1/2007,377802,310458,338000,270656,341848,274504
12/1/2007,426077,357006,387063,317992,387473,318402
1/1/2008,342639,276796,303949,238106,307576,241733
2/1/2008,343893,274863,306277,237247,308171,239141
3/1/2008,372907,296293,330681,254067,334416,257802
4/1/2008,368920,295184,325257,251521,331002,257266
5/1/2008,397956,321829,349444,273317,357277,281150
6/1/2008,378507,309079,328422,258994,339791,270363
7/1/2008,383726,314049,331998,262321,344158,274481
8/1/2008,382862,313186,333794,264118,342443,272767
9/1/2008,350542,290053,305360,244871,313308,252819
10/1/2008,349847,294821,309222,254196,311422,256396
11/1/2008,335545,287679,305676,257810,299238,251372
12/1/2008,384236,331883,357861,305508,346513,294160
1/1/2009,310188,260095,283647,233554,273998,223905
2/1/2009,299412,249406,273792,223786,264465,214459
3/1/2009,328526,271393,300076,242943,290068,232935
4/1/2009,329854,273915,300417,244478,292041,236102
5/1/2009,347728,289996,314770,257038,307481,249749
6/1/2009,344405,284883,308460,248938,306050,246528
7/1/2009,348071,285771,311732,249432,308847,246547
8/1/2009,353392,287210,316412,250230,314505,248323
9/1/2009,324646,272523,290298,238175,288071,235948
10/1/2009,338610,283744,303585,248719,300360,245494
11/1/2009,339363,289339,305021,254997,303850,253826
12/1/2009,400281,344429,365032,309180,362735,306883
1/1/2010,314557,264687,280412,230542,279044,229174
2/1/2010,310925,259103,279037,227215,275566,223744
3/1/2010,360679,293231,323445,255997,321305,253857
4/1/2010,356333,291965,318036,253668,316940,252572
5/1/2010,365605,300362,326437,261194,324820,259577
6/1/2010,358604,293904,320396,255696,319183,254483
7/1/2010,361939,294933,322885,255879,320915,253909
8/1/2010,362627,296553,324086,258012,322319,256245
9/1/2010,345999,284345,308829,247175,307638,245984
10/1/2010,355209,293823,316729,255343,315059,253673
11/1/2010,365828,306998,328755,269925,328381,269551
12/1/2010,426663,362151,387572,323060,386878,322366
1/1/2011,335587,277706,297569,239688,298626,240745
2/1/2011,337314,274739,300645,238070,299920,237345
3/1/2011,387088,311920,342739,267571,345052,269884
4/1/2011,380775,311233,334922,265380,339014,269472
5/1/2011,391999,322722,343754,274477,348979,279702
6/1/2011,388700,318499,341186,270985,346620,276419
7/1/2011,384682,315504,336482,267304,341381,272203
8/1/2011,394609,323314,346289,274994,352224,280929
9/1/2011,375025,308069,329582,262626,333642,266686
10/1/2011,379482,313569,334367,268454,337067,271154
11/1/2011,391220,327252,348244,284276,351517,287549
12/1/2011,451821,380837,409066,338082,408910,337926
1/1/2012,355184,292916,313778,251510,315540,253272
2/1/2012,372401,302072,330183,259854,331470,261141
3/1/2012,414149,332992,365752,284595,368502,287345
4/1/2012,392949,319458,345285,271794,349194,275703
5/1/2012,418608,338812,369410,289614,373129,293333
6/1/2012,400975,325021,354492,278538,356083,280129
7/1/2012,396026,320787,349368,274129,351520,276281
8/1/2012,417922,337194,367727,286999,372986,292258
9/1/2012,385609,314291,338408,267090,342582,271264
10/1/2012,399400,327099,350417,278116,355823,283522
11/1/2012,411065,341371,366631,296937,368593,298899
12/1/2012,462102,387883,419520,345301,416807,342588
1/1/2013,375590,306253,333895,264558,333792,264455
2/1/2013,373987,300952,331888,258853,332491,259456
3/1/2013,421717,338080,374183,290546,374153,290516
4/1/2013,408538,327043,361977,280482,362978,281483
5/1/2013,437182,350480,388304,301602,389694,302992
6/1/2013,414704,332133,366582,284011,369264,286693
7/1/2013,422403,336397,372995,286989,376921,290915
8/1/2013,435000,346346,385895,297241,388107,299453
9/1/2013,396211,320720,350604,275113,352558,277067
10/1/2013,415719,336937,369702,290920,369657,290875
11/1/2013,423787,348398,381866,306477,378499,303110
12/1/2013,476925,398730,434259,356064,430336,352141
1/1/2014,383344,312962,341204,270822,340412,270030
2/1/2014,380219,305265,340050,265096,337329,262375
3/1/2014,432831,342343,387028,296540,383421,292933
4/1/2014,431517,343558,384776,296817,383809,295850
5/1/2014,459276,366037,409300,316061,408222,314983
